,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
122,122.0,2013.0,OTHERS,CAPITAL EXPENDITURE,POLICE AFFAIRS,4200000000.0
123,123.0,2013.0,OTHERS,CAPITAL EXPENDITURE,POLICE FORMATION AND COMMANDS,10250000000.0
124,124.0,2013.0,OTHERS,CAPITAL EXPENDITURE,WOMEN AFFAIRS,3300000000.0
125,125.0,2013.0,OTHERS,CAPITAL EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,48730000000.0
126,126.0,2013.0,OTHERS,CAPITAL EXPENDITURE,WATER RESOURCES,39876340812.0
127,127.0,2013.0,OTHERS,CAPITAL EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,647620000.0
128,128.0,2013.0,OTHERS,CAPITAL EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFFENCES COMMISSION,160000000.0
129,129.0,2013.0,OTHERS,CAPITAL EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,51800000000.0
130,130.0,2013.0,OTHERS,CAPITAL EXPENDITURE,EDUCATION,60140591038.0
131,131.0,2013.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION,55000000000.0
132,132.0,2013.0,OTHERS,CAPITAL EXPENDITURE,FOREIGN AFFAIRS,23706602870.0
133,133.0,2013.0,OTHERS,CAPITAL EXPENDITURE,FINANCE,3273615980.0
134,134.0,2013.0,OTHERS,CAPITAL EXPENDITURE,HEALTH,55753395375.0
135,135.0,2013.0,OTHERS,CAPITAL EXPENDITURE,TRADE AND INVESTMENT,3221567007.0
136,136.0,2013.0,OTHERS,CAPITAL EXPENDITURE,INFORMATION,5422292294.0
137,137.0,2013.0,OTHERS,CAPITAL EXPENDITURE,COMMUNICATION TECHNOLOGY,3935000000.0
138,138.0,2013.0,OTHERS,CAPITAL EXPENDITURE,INTERIOR,9456540679.0
139,139.0,2013.0,OTHERS,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,5613000000.0
140,140.0,2013.0,OTHERS,CAPITAL EXPENDITURE,JUSTICE,1510801961.0
141,141.0,2013.0,OTHERS,CAPITAL EXPENDITURE,LABOUR AND PRODUCTIVITY,1863000000.0
142,142.0,2013.0,OTHERS,CAPITAL EXPENDITURE,POWER,70000000000.0
143,143.0,2013.0,OTHERS,CAPITAL EXPENDITURE,SCIENCE AND TECHNOLOGY,8715780000.0
144,144.0,2013.0,OTHERS,CAPITAL EXPENDITURE,TRANSPORT,44353673724.0
145,145.0,2013.0,OTHERS,CAPITAL EXPENDITURE,PETROLEUM RESOURCES,8500000000.0
146,146.0,2013.0,OTHERS,CAPITAL EXPENDITURE,WORKS,151250000000.0
147,147.0,2013.0,OTHERS,CAPITAL EXPENDITURE,LANDS & HOUSING,19150000000.0
148,148.0,2013.0,OTHERS,CAPITAL EXPENDITURE,MINES & STEEL DEVELOPMENT,3000000000.0
149,149.0,2013.0,OTHERS,CAPITAL EXPENDITURE,AVIATION,47000000000.0
150,150.0,2013.0,OTHERS,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",250000000.0
151,151.0,2013.0,OTHERS,CAPITAL EXPENDITURE,ENVIRONMENT,9869403055.0
152,152.0,2013.0,OTHERS,CAPITAL EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",4000000000.0
153,153.0,2013.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL PLANNING COMMISSION,2800000000.0
154,154.0,2013.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL SPORTS COMMISSION,1963000000.0
155,155.0,2013.0,OTHERS,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,50000000000.0
156,156.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,NIGER-DELTA,61000000000.0
157,157.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,SPECIAL DUTIES,200000000.0
158,158.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,70000000.0
159,159.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,60000000.0
160,160.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,NATIONAL POPULATION COMMISSION,1500000000.0
161,161.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,CODE OF CONDUCT BUREAU,1500000096.0
162,162.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,CODE OF CONDUCT TRIBUNAL,80000000.0
163,163.0,2013.0,OTHERS,CAPITAL EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,550000000.0
164,164.0,2013.0,OTHERS,CAPITAL EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,1650000000.0
165,165.0,2013.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,380000000.0
166,166.0,2013.0,OTHERS,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSION,1470000000.0
167,167.0,2013.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,70000000.0
168,168.0,2013.0,OTHERS,CAPITAL EXPENDITURE,SUB-TOTAL: FEDERAL EXECUTIVE BODIES,7200000096.0
169,169.0,2013.0,OTHERS,CAPITAL EXPENDITURE,ADJUSTMENT TO CAPITAL COSTS,5000000000.0
170,170.0,2013.0,OTHERS,CAPITAL EXPENDITURE,VIABILITY GAP FUND - PPP,5000000000.0
171,171.0,2013.0,OTHERS,CAPITAL EXPENDITURE,JOB CREATION,15000000000.0
172,172.0,2013.0,OTHERS,CAPITAL EXPENDITURE,COUNTERPART FUNDING  INCLUDING GLOBAL FUND/HEALTH,4800000000.0
173,173.0,2013.0,OTHERS,CAPITAL EXPENDITURE,ARREARS OF COUNTERPART FUNDING,2420000000.0
174,174.0,2013.0,OTHERS,CAPITAL EXPENDITURE,MULTI YEAR TARIFF ORDER,20000000000.0
175,175.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PHASE I: PROGRAMM AND PROJECT PORTFOLIO MANAGEMENT FOR PILOT MDAs,500000000.0
176,176.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,QUICK WINS - COMPLETION OF 2008 & 2009 PROJECTS,1700000000.0
177,177.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,CONDITIONAL GRANTS AND SOCIAL SAFETY NETS (MDGS),67000000000.0
178,178.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,SUPPORT TO UNDP MILLENIUM CAMPAIGN PROGRAMME NIGERIA IN AFRICA /AFRICAN PAQRLAMENTARY PROGRAMME,400000000.0
179,179.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,2011 AND 2012 M&E,3450000000.0
180,180.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,"CONSULTANCY, SURVEY AND SHORT TERM STUDIES",863000000.0
181,181.0,2013.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,COMMUNICATIONS AND ADVOCACY,860000000.0
182,182.0,2013.0,OTHERS,CAPITAL EXPENDITURE,MDGs SPECIAL PROJECTS,8100000000.0
183,183.0,2013.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL  INTERVENTION,100000000000.0
184,184.0,2013.0,OTHERS,CAPITAL EXPENDITURE,PAYMENT OF LOCAL CONTRACTORS' DEBTS,38000000000.0
185,185.0,2013.0,OTHERS,CAPITAL EXPENDITURE,POLICE REFORMS FUND (SHARE OF FGN),22000000000.0
186,186.0,2013.0,OTHERS,CAPITAL EXPENDITURE,BANK OF AGRICULTURE,1000000000.0
187,187.0,2013.0,OTHERS,CAPITAL EXPENDITURE,NIGERIAN EXPORT - IMPORT BANK - SHARE OF EQUITY,1500000000.0
188,188.0,2013.0,OTHERS,CAPITAL EXPENDITURE,SINKING FUND FOR INFRASTRUCTURAL DEVELOPMENT,65000000000.0
189,189.0,2013.0,OTHERS,CAPITAL EXPENDITURE,LANDS AND HOUSING  (2010 OUTSTANDING LIABILITIES),12000000000.0
190,190.0,2013.0,OTHERS,CAPITAL EXPENDITURE,SPORTS DEVELOPMENT,3000000000.0
191,191.0,2013.0,OTHERS,CAPITAL EXPENDITURE,ENERGY COMMISSION OF NIGERIA (2010 OUTSTANDING LIABILITIES),8000000000.0
192,192.0,2013.0,OTHERS,CAPITAL EXPENDITURE,PHCN PRIVATISATION,45000000000.0
193,193.0,2013.0,OTHERS,CAPITAL EXPENDITURE,FUNDING OF GALAXY BACKBONE INFRASTRUCTURE,4060000000.0
194,194.0,2013.0,OTHERS,CAPITAL EXPENDITURE,NELMCO,14000000000.0
195,195.0,2013.0,OTHERS,CAPITAL EXPENDITURE,BULK TRADERS,16000000000.0
196,196.0,2013.0,OTHERS,CAPITAL EXPENDITURE,COURT SECURITY PROGRAMME,5760000000.0
197,197.0,2013.0,OTHERS,CAPITAL EXPENDITURE,STRENGTHENING OF CAPACITY OF OSA OF PRESIDENT ON NASS,200000000.0
198,198.0,2013.0,OTHERS,CAPITAL EXPENDITURE,NEW NIGERIAN NEWSPAPERS LIABILITY,850000000.0
199,199.0,2013.0,OTHERS,CAPITAL EXPENDITURE,REFUND TO STATES FOR FEDERAL ROAD PROJECTS,20000000000.0
200,200.0,2013.0,OTHERS,CAPITAL EXPENDITURE,"SPECIAL INITIATIVE FOR WOMEN PARTICIPATION IN AGRICULTURE, WATER, SPORT, COMMUNICATION TECHNOLOGY ETC.",3000000000.0
201,201.0,2013.0,OTHERS,CAPITAL EXPENDITURE,ACTIVIATION OF NIGERIAN AIRFORCE  C - 130 AIRCRAFT  -  (NAF 913) AND  (NAF 197),9000000000.0
202,202.0,2013.0,OTHERS,CAPITAL EXPENDITURE,PAYMENT FOR MATURING DOMESTIC BONDS,75000000000.0
203,203.0,2013.0,OTHERS,CAPITAL EXPENDITURE,SINKING FUND FOR RETIRING FUTURE MATURED BONDS,25000000000.0
204,204.0,2013.0,OTHERS,CAPITAL EXPENDITURE,GAS REVOLUTION INITIATIVE: DREDGING OF ESCRAVOS RIVER,8000000000.0
205,205.0,2013.0,OTHERS,CAPITAL EXPENDITURE,GIFMIS CAPITAL,1000000000.0
206,206.0,2013.0,OTHERS,CAPITAL EXPENDITURE,BANK OF INDUSTRY,1500000000.0
207,207.0,2013.0,OTHERS,CAPITAL EXPENDITURE,IPPIS CAPITAL,1500000000.0
208,208.0,2013.0,OTHERS,CAPITAL EXPENDITURE,2011   ELECTION VIOLENCE AND CIVIL DISTURBANCES  (DAMAGE DONE TO PUBLIC PROPERTIES AND PLACE OF WORSHIP),5747694780.0
0,0.0,2014.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,73000000000.0
1,1.0,2014.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,49030000000.0
2,2.0,2014.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION  (ARREARS FOR Q4 2012),12910000000.0
3,3.0,2014.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,70470000000.0
4,4.0,2014.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,150000000000.0
5,5.0,2014.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION ,6927801891.0
6,6.0,2014.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,45000000000.0
7,7.0,2014.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NDDC ARREARS OF SHARE OF EXCESS CRUDE DISTRIBUTED IN 2009,1350000000.0
8,8.0,2014.0,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,663610000000.0
9,9.0,2014.0,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,48390000000.0
10,10.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,27016720760.0
11,11.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRATION,49200983088.0
12,12.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,YOUTH DEVELOPMENT,75957608331.0
13,13.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE AFFAIRS,4479751900.0
14,14.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE FORMATION AND COMMANDS,295561812085.0
15,15.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WOMEN AFFAIRS,1538263550.0
16,16.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,31493503356.0
17,17.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WATER RESOURCES,7707230646.0
18,18.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,3195286304.0
19,19.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFENCES COMMISSION,4542989874.0
20,20.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,314347339871.0
21,21.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,EDUCATION,373532095037.0
22,22.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION FOREINE AFFAIRS,46595745004.0
23,23.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FINANCE,13719299274.0
24,24.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,HEALTH,214946652273.0
25,25.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRADE AND INVESTMENT,12625993782.0
26,26.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFORMATION,22437143384.0
27,27.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,COMMUNICATION TECHNOLOGY,10626932493.0
28,28.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INTERIOR,145021228363.0
29,29.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,7426843501.0
30,30.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,JUSTICE,24494780899.0
31,31.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,LABOUR AND PRODUCTIVITY,8569176624.0
32,32.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POWER,3397810244.0
33,33.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SCIENCE AND TECHNOLOGY,23921029868.0
34,34.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRANSPORT,8193406260.0
35,35.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PETROLEUM RESOURCES,55706174457.0
36,36.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WORKS,27405355931.0
37,37.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,LANDS & HOUSING,5624655406.0
38,38.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINES & STEEL DEVELOPMENT,10579956791.0
39,39.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AVIATION,6150858752.0
40,40.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",716809025.0
41,41.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ENVIRONMENT,14138963475.0
42,42.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",17720095306.0
43,43.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL PLANNING COMMISSION,6169131820.0
44,44.0,2014.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL SPORTS COMMISSION,6076107773.0
45,45.0,2014.0,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,66625072907.0
46,46.0,2014.0,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NIGER-DELTA,2289614937.0
47,47.0,2014.0,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SPECIAL DUTIES,104591265.0
48,48.0,2014.0,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SPECIAL DUTIES AND INTERGOVERNMENTAL AFFAIRS,575656604.0
49,49.0,2014.0,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,541226521.0
50,50.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,862270565.0
51,51.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,5291205798.0
52,52.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,1856158560.0
53,53.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,460229424.0
54,54.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,1959705303.0
55,55.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1239087404.0
56,56.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,782623151.0
57,57.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2173429715.0
58,58.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),21711170000.0
59,59.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,18951170000.0
60,60.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,2300000000.0
61,61.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST INCLUDING VERIFICATION EXERCISE IN 2013,210000000.0
62,62.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,REINBURSEMENT TO STATES,250000000.0
63,63.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),77003461518.0
64,64.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,70673939944.0
65,65.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,2013 RETIREES,2656915035.0
66,66.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,DEATH BENEFITS,2656915035.0
67,67.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,ADMIN. CHARGES,265691504.0
68,68.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST,600000000.0
69,69.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,YEARLY VERIFICATION EXERCISE,150000000.0
70,70.0,2014.0,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,POLICE PENSIONS AND GRATUITIES,9469269077.0
71,71.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9225893057.0
72,72.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST/BIOMETRIC DATA CAPTURE AND VERIFICATION EXERCISES FOR THE YEAR,243376020.0
73,73.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE",9296800000.0
74,74.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9256800000.0
75,75.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,40000000.0
76,76.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,UNIVERSITIES' PENSIONS INCLUDING ARREARS,17290000000.0
77,77.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,17290000000.0
78,78.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PARASTATALS' PENSION AND RAILWAY PENSIONS,35434750307.0
79,79.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,35434750307.0
80,80.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,2297298262.0
81,81.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,2257298262.0
82,82.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,40000000.0
83,83.0,2014.0,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,DEPARTMENT OF STATE SECURITY,10238357471.0
84,84.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS (INCLUDING ARREARS),10238357471.0
85,85.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,4709146566.0
86,86.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,4709146566.0
87,87.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PAYG PENSION,3000000000.0
88,88.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INCREASES IN PENSION RATES (PARASTATALS),2500000000.0
89,89.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,IPPIS,500000000.0
90,90.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS,500000000.0
91,91.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT INTO THE REDEMPTION FUND (5% OF TOTAL PERSONNEL COST),30582553824.0
92,92.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF POLICE DEATH BENEFITS (2004 - 2010),3750000000.0
93,93.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs,11000000000.0
94,94.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS (MILITARY RETIREES),3544110811.0
95,95.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATION AND MONITORING OF (OHCSF) GROUP LIFE,36000000.0
96,96.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAs ARREARS OF PROMOTION AND SALARY INCREASE)s,33638028591.0
97,97.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OPERATIONS - INTERNAL FOR THE ARMED FORCES,24107616635.0
98,98.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS INCLUDING WAEC INTERNATIONAL,6000000000.0
99,99.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ASSESSED CONTRIBUTION TO AFRICAN UNION AND OTHERS,5650000000.0
100,100.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EXTERNAL FINANCIAL OBLIGATIONS,13000000000.0
101,101.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS,5000000000.0
102,102.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY,24000000000.0
103,103.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MUSLIM/CHRISTIAN PILGRIMAGES,1800000000.0
104,104.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GENERAL ELECTION LOGISTICS SUPPORT,30000000000.0
105,105.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,RECURRENT ADJUSTMENT,3049600000.0
106,106.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EMPLOYEES COMPENSATION ACT - EMPLOYEES' COMPENSATION FUND,5500000000.0
107,107.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ENTITLEMENTS OF FORMER PRESIDENTS/HEADS OF STATE AND VICE-PRESIDENTS/CHIEFS OF GENERAL STAFF,2300000000.0
108,108.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INSURANCE OF SENSITIVE ASSETS/CORPERS,2500000000.0
109,109.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,BENEFITS OF RETIRED HEADS OF THE CIVIL SERVICE OF THE FEDRATION AND FEDERAL PERMANENT SECRETARIES,2599702192.0
110,110.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT TO NIGERIAN ARMY QUICK RESPONSE GROUP INCLUDING ARREARS,12000000000.0
111,111.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INCLUDING ARREARS PAYMENT FOR OUTSOURCES SEREVICES,5000000000.0
112,112.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NATIONAL DIALOGUE,7000000000.0
113,113.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME:,63281093786.0
114,114.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"PRESIDENTIAL AMNESTY PROGRAMME: STIPENDS AND ALLOWANCES OF N30,000 NIGER DELTA EXS-MULITANTS",23625000000.0
115,115.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: OPERATIONAL COST,3699933814.0
