,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
202,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,SUBSCRIPTION TO SHARES IN INTERNATIONAL ORGANISATIONS,15000000000
203,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL DEVELOPMENT PLANS (FEDERAL MINISTRY OF FINANCE, BUDGET AND NATIONAL PLANNING)",1500000000
204,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,ADJUSTMENT TO CAPITAL COST,5000000000
205,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONTINGENCY (CAPITAL),15000000000
206,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,GRANTS AND DONOR FUNDED PROJECTS,63376918168
207,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENTIAL ENABLING BUSINESS ENVIRONMENT COUNCIL (PEBEC),1000000000
208,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,PROVISION FOR THE REFUND OF TWO TRANCHES OF NHIS DEDUCTIONS,5000000000
209,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,REFUND OF BORROWED FUNDS FROM THE EDUCATION TAX POOL (TETFUND),12899000000
210,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,TRANSFER TO HYPPADEC,1000000000
211,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL POVERTY REDUCTION WITH GROWTH STRATEGY (FGN COMMITMENT, INCLUDING NSIP UPSCALING)",100000000000
212,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,RESTRUCTURING/RECAPITALISATION OF NIPOST,10000000000
213,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,RECAPITALISATION OF MOFI,20000000000
214,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL ASSEMBLY LIBRARY BUILDING (ONGOING),5000000000
215,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,HOSTING OF CONFERENCE OF SPEAKERS' OF AFRICAN PARLIAMENTS (COSAP),150000000
216,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,NASS LIABILITIES,10000000000
217,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,NASS E-LIBRARY,300000000
218,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,NASS DASHBOARD,139000000
219,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONSTITUTION REVIEW,1000000000
220,2022,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL INTEVENTION PROJECTS,20000000000
